Filename,PromptID,PromptType,Model,Category,Tags
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0481_TAG_Deepseek.md,481,TAG,Deepseek,Standard Algorithms,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0485_TAG_Deepseek.md,485,TAG,Deepseek,Standard Algorithms,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0489_TAG_Deepseek.md,489,TAG,Deepseek,Standard Algorithms,"ALM,INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0486_TAG_Deepseek.md,486,TAG,Deepseek,Standard Algorithms,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0484_TAG_Deepseek.md,484,TAG,Deepseek,Standard Algorithms,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0483_TAG_Deepseek.md,483,TAG,Deepseek,Standard Algorithms,"ALM,INTLK,LOGIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0487_TAG_Deepseek.md,487,TAG,Deepseek,Standard Algorithms,"INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0488_TAG_Deepseek.md,488,TAG,Deepseek,Standard Algorithms,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0482_TAG_Deepseek.md,482,TAG,Deepseek,Standard Algorithms,"INTLK,PIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Standard Algorithms/Answer0490_TAG_Deepseek.md,490,TAG,Deepseek,Various Engineering Inputs,"INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0478_TAG_Deepseek.md,478,TAG,Deepseek,Sequential Control,"ACT,ALM,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0479_TAG_Deepseek.md,479,TAG,Deepseek,Sequential Control,"ACT,ALM,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0472_TAG_Deepseek.md,472,TAG,Deepseek,Sequential Control,"ACT,PIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0476_TAG_Deepseek.md,476,TAG,Deepseek,Sequential Control,"ACT,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0475_TAG_Deepseek.md,475,TAG,Deepseek,Sequential Control,"ACT,LOGIC,RPT,SEN,SEQ,TIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0474_TAG_Deepseek.md,474,TAG,Deepseek,Sequential Control,"INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0480_TAG_Deepseek.md,480,TAG,Deepseek,Standard Algorithms,"ALM,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0471_TAG_Deepseek.md,471,TAG,Deepseek,Sequential Control,"ACT,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0477_TAG_Deepseek.md,477,TAG,Deepseek,Sequential Control,"LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Sequential Control/Answer0473_TAG_Deepseek.md,473,TAG,Deepseek,Sequential Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0403_TAG_Deepseek.md,403,TAG,Deepseek,Advanced Process Control,"ALM,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0402_TAG_Deepseek.md,402,TAG,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0409_TAG_Deepseek.md,409,TAG,Deepseek,Advanced Process Control,"ALM,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0406_TAG_Deepseek.md,406,TAG,Deepseek,Advanced Process Control,"ALM,INTLK,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0405_TAG_Deepseek.md,405,TAG,Deepseek,Advanced Process Control,"FIC,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0410_TAG_Deepseek.md,410,TAG,Deepseek,Diagnostics and Communication,"ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0401_TAG_Deepseek.md,401,TAG,Deepseek,Advanced Process Control,"ALM,PIC,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0408_TAG_Deepseek.md,408,TAG,Deepseek,Advanced Process Control,"ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0407_TAG_Deepseek.md,407,TAG,Deepseek,Advanced Process Control,"ACT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Advanced Process Control/Answer0404_TAG_Deepseek.md,404,TAG,Deepseek,Advanced Process Control,"SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0429_TAG_Deepseek.md,429,TAG,Deepseek,Interlocks,"ACT,ALM,INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0422_TAG_Deepseek.md,422,TAG,Deepseek,Interlocks,"ACT,ALM,INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0424_TAG_Deepseek.md,424,TAG,Deepseek,Interlocks,"ACT,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0421_TAG_Deepseek.md,421,TAG,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0427_TAG_Deepseek.md,427,TAG,Deepseek,Interlocks,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0428_TAG_Deepseek.md,428,TAG,Deepseek,Interlocks,"ACT,ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0425_TAG_Deepseek.md,425,TAG,Deepseek,Interlocks,"ACT,ALM,FIC,INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0423_TAG_Deepseek.md,423,TAG,Deepseek,Interlocks,"ACT,ALM,FIC,INTLK,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0430_TAG_Deepseek.md,430,TAG,Deepseek,Mathematical Functions,"ACT,INTLK,PIC"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Interlocks/Answer0426_TAG_Deepseek.md,426,TAG,Deepseek,Interlocks,"ACT,ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0465_TAG_Deepseek.md,465,TAG,Deepseek,Programmer Support,"ALM,INTLK,LOGIC,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0468_TAG_Deepseek.md,468,TAG,Deepseek,Programmer Support,"ACT,ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0463_TAG_Deepseek.md,463,TAG,Deepseek,Programmer Support,"ACT,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0462_TAG_Deepseek.md,462,TAG,Deepseek,Programmer Support,"ACT,ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0467_TAG_Deepseek.md,467,TAG,Deepseek,Programmer Support,"ACT,ALM,INTLK,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0466_TAG_Deepseek.md,466,TAG,Deepseek,Programmer Support,"LOGIC,RPT"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0464_TAG_Deepseek.md,464,TAG,Deepseek,Programmer Support,"ACT,ALM,FIC,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0461_TAG_Deepseek.md,461,TAG,Deepseek,Programmer Support,"ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0470_TAG_Deepseek.md,470,TAG,Deepseek,Sequential Control,"ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Programmer Support/Answer0469_TAG_Deepseek.md,469,TAG,Deepseek,Programmer Support,"ACT,ALM,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0438_TAG_Deepseek.md,438,TAG,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0433_TAG_Deepseek.md,433,TAG,Deepseek,Mathematical Functions,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0435_TAG_Deepseek.md,435,TAG,Deepseek,Mathematical Functions,"ALM,INTLK,RPT,SEN,SEQ"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0439_TAG_Deepseek.md,439,TAG,Deepseek,Mathematical Functions,"ALM,INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0432_TAG_Deepseek.md,432,TAG,Deepseek,Mathematical Functions,"ALM,INTLK,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0436_TAG_Deepseek.md,436,TAG,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0431_TAG_Deepseek.md,431,TAG,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0434_TAG_Deepseek.md,434,TAG,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0440_TAG_Deepseek.md,440,TAG,Deepseek,PLC Programing Tasks,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Mathematical Functions/Answer0437_TAG_Deepseek.md,437,TAG,Deepseek,Mathematical Functions,"INTLK,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0451_TAG_Deepseek.md,451,TAG,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0456_TAG_Deepseek.md,456,TAG,Deepseek,Process Control,"ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0458_TAG_Deepseek.md,458,TAG,Deepseek,Process Control,"ACT,ALM,FIC,PIC,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0457_TAG_Deepseek.md,457,TAG,Deepseek,Process Control,"ACT,ALM,LOGIC,RPT,SEN"
../Industrial-Control/Models/Deepseek/T-A-G(Task-Action-Goal)/Process Control/Answer0460_TAG_Deepseek.md,460,TAG,Deepseek,Programmer Support,"ACT,ALM,LOGIC,RPT,SEN"
